Top queries,Clicks,Impressions,CTR,Position
sistemas legacy,0,33,0%,96.88
modernización de aplicaciones legacy,0,7,0%,79.57
actualización de sistemas legacy,0,5,0%,43.8
rearquitectura de sistemas legacy,0,4,0%,46.25
modernización de arquitecturas de datos legacy,0,4,0%,74.5
doscientos,0,3,0%,10
actualización de plataformas de pago legacy,0,2,0%,18
modernización de sistemas bancarios legacy,0,2,0%,38.5
sistema legacy,0,2,0%,70
modernizacion del legacy,0,1,0%,23
agencia de desarrollo web en barcelona,0,1,0%,44
t'estiu molt,0,1,0%,50
que es legacy en informatica,0,1,0%,71
optimización de aplicaciones legacy,0,1,0%,86
